"","y","m","ym_num","prov","n","n_pred","margin","n_extra","n_extra_normalized"
"659",1400,5,1400.375,"تهران",9777,5008.20000000001,5658.93117849592,4768.79999999999,0.104295337240836
"660",1400,5,1400.375,"چهارمحال و بختياري",407,73,417.228606210084,0,0
"661",1400,5,1400.375,"خراسان جنوبي",402,353.000000000002,367.656056768451,48.9999999999982,0.0180080852627704
"662",1400,5,1400.375,"خراسان رضوي",4897,2636.00000000001,2889.02200167839,2260.99999999999,0.0922066799885806
"663",1400,5,1400.375,"خراسان شمالي",521,488.400000000001,544.199641575911,0,0
"664",1400,5,1400.375,"خوزستان",2274,1606,1845.15406470864,668,0.0457064659596305
"665",1400,5,1400.375,"زنجان",493,427,487.535389098719,66.0000000000002,0.0171206225680934
"666",1400,5,1400.375,"سمنان",396,286.199999999999,313.358792314827,109.800000000001,0.0444174757281558
"667",1400,5,1400.375,"سيستان و بلوچستان",1793,1095.4,1316.04874046019,697.599999999999,0.0740630640195348
"668",1400,5,1400.375,"فارس",2678,1704.2,1926.17026827933,973.800000000001,0.0608891389983118
"669",1400,5,1400.375,"قزوين",664,538.800000000001,632.676514634919,125.199999999999,0.0271642438706875
"670",1400,5,1400.375,"قم",1076,472.6,551.129824483017,603.4,0.124798345398138
"671",1400,5,1400.375,"کردستان",704,579.6,682.46820046383,124.4,0.0229647406313457
"672",1400,5,1400.375,"کرمان",1835,1111.60000000001,1315.28832399854,723.399999999994,0.0725358467863225
"673",1400,5,1400.375,"کرمانشاه",1303,850.799999999999,941.067011323812,452.200000000001,0.05619485522555
"674",1400,5,1400.375,"کهگيلويه و بويراحمد",322,204.8,218.32528496311,117.2,0.0617817606747495
"675",1400,5,1400.375,"گلستان",1826,646.800000000003,771.059406082601,1179.2,0.158707940780619
"676",1400,5,1400.375,"گيلان",2245,1127.99999999999,1346.57081232406,1117.00000000001,0.0937788598774248
"677",1400,5,1400.375,"لرستان",908,761,936.791922453792,0,0
"678",1400,5,1400.375,"مازندران",2639,1354,1517.10119558115,1285,0.0951076900303457
"679",1400,5,1400.375,"مرکزي",890,656.6,791.157051097295,233.4,0.0398293515358361
"680",1400,5,1400.375,"هرمزگان",980,456.799999999999,568.958815970925,523.200000000001,0.105441354292624
"681",1400,5,1400.375,"همدان",1165,864.2,877.803921003397,300.8,0.0382453909726637
"682",1400,5,1400.375,"يزد",650,349.2,393.566654144751,300.8,0.0849237718802937
"683",1400,4,1400.29166666667,"آذربايجان شرقي",2415,1855.99999999999,2294.47979809031,559.000000000015,0.0351904312244265
"684",1400,4,1400.29166666667,"آذربايجان غربي",1584,1228.59999999999,1394.54456905846,355.400000000007,0.032096089587285
"685",1400,4,1400.29166666667,"اردبيل",667,562.999999999993,639.122707956732,104.000000000007,0.0224816255944676
"686",1400,4,1400.29166666667,"اصفهان",2336,2165.60000000001,2190.27657458672,170.399999999994,0.0102582625970739
"687",1400,4,1400.29166666667,"البرز",1377,868.799999999988,927.527619850733,508.200000000012,0.064871074802146
"688",1400,4,1400.29166666667,"ايلام",197,180.599999999998,232.52815549712,0,0
"689",1400,4,1400.29166666667,"بوشهر",432,300.399999999999,324.981836112597,131.600000000001,0.044294850218782
